scientific_name,inat_common_name,ref_common_name,comment
Abacopteris,,,Missed common name on iNat
Abacopteris gymnopteridifrons,新月蕨,,Species not included in reference
Abacopteris nudata,,,Missed common name on iNat
Abelia,糯米条属,糯米条属,Matched
Abelia chinensis,糯米条,糯米条,Matched
Abelia macrotera,二翅六道木,二翅糯米条,Inconsistent common name
Abelia uniflora,蓪梗花,蓪梗花,Matched
Abelia × grandiflora,大花糯米条,大花糯米条,Matched
Abelmoschus,秋葵属,秋葵属,Matched
Abelmoschus esculentus,秋葵,咖啡黄葵,Inconsistent common name
Abelmoschus manihot,黄蜀葵,黄蜀葵,Matched
Abelmoschus moschatus,黄葵,黄葵,Matched
Abelmoschus sagittifolius,箭叶秋葵,箭叶秋葵,Matched
Abies,冷杉属,冷杉属,Matched
Abies beshanzuensis,百山祖冷杉,百山祖冷杉,Matched
Abies concolor,白冷杉,,Species not included in reference
Abies delavayi,苍山冷杉,苍山冷杉,Matched
Abies fabri,峨眉冷杉,冷杉,Inconsistent common name
Abies fargesii,巴山冷杉,巴山冷杉,Matched
Abies forrestii georgei,川滇冷杉,,Species not included in reference
Abies fraseri,弗雷泽冷杉,,Species not included in reference
Abies holophylla,杉松,杉松,Matched
Abroma,昂天莲属,昂天莲属,Matched
Abroma augustum,昂天莲,昂天莲,Matched
Abrus,相思子属,相思子属,Matched
Abrus precatorius,相思子,相思子,Matched
Abrus pulchellus,美丽相思子,美丽相思子,Matched
Abrus pulchellus cantoniensis,广州相思子,,Species not included in reference
Abrus pulchellus mollis,毛相思子,,Species not included in reference
Abutilon,苘麻属,苘麻属,Matched
Abutilon fruticosum,,,Missed common name on iNat
Abutilon grandifolium,大叶苘麻,,Species not included in reference
Abutilon hybridum,,,Missed common name on iNat
Abutilon indicum,磨盘草,磨盘草,Matched
Abutilon mauritianum,毛里求斯苘麻,,Species not included in reference
Abutilon theophrasti,苘麻,苘麻,Matched
Acacia,相思树属,相思树属,Matched
Acacia auriculiformis,大叶相思,大叶相思,Matched
Acacia confusa,台湾相思,台湾相思,Matched
Acacia dealbata,银荆,银荆,Matched
Acacia decurrens,,绿荆,Missed common name on iNat
Acacia mangium,马占相思,马占相思,Matched
Acacia mearnsii,黑荆,黑荆,Matched
Acacia melanoxylon,黑木相思,,Species not included in reference
Acacia podalyriifolia,珍珠金合欢,珍珠相思,Inconsistent common name
Acalypha,铁苋属,铁苋菜属,Inconsistent common name
Acalypha australis,铁苋菜,铁苋菜,Matched
Acalypha brachystachya,裂苞铁苋菜,,Species not included in reference
Acalypha hispida,红穗铁苋菜,红穗铁苋菜,Matched
Acalypha indica,热带铁苋,热带铁苋菜,Inconsistent common name
Acalypha ostryifolia,铁苋菜,,Species not included in reference
Acalypha pendula,红尾铁苋,,Species not included in reference
Acalypha rhomboidea,,,Missed common name on iNat
Acalypha siamensis,菱叶铁苋菜,,Species not included in reference
Acalypha wilkesiana,红桑,红桑,Matched
Acampe,脆兰属,脆兰属,Matched
Acampe joiceyana,美花脆兰,,Species not included in reference
Acampe praemorsa,多花脆兰,,Species not included in reference
Acampe praemorsa longepedunculata,多花脆兰,,Species not included in reference
Acampe rigida,多花脆兰,多花脆兰,Matched
Acantholimon alatavicum,,刺叶彩花,Missed common name on iNat
Acanthophippium,坛花兰属,,Species not included in reference
Acanthophippium sylhetense,坛花兰,,Species not included in reference
Acanthus,老鼠簕属,老鼠簕属,Matched
Acanthus ebracteatus,小花老鼠簕,小花老鼠簕,Matched
Acanthus ilicifolius,老鼠簕,老鼠簕,Matched
Acanthus leucostachyus,刺苞老鼠簕,刺苞老鼠簕,Matched
Acanthus mollis,虾蟆花,,Species not included in reference
Acanthus montanus,斑叶老鼠簕,,Species not included in reference
Acer,槭树属,槭属,Inconsistent common name
Acer buergerianum,三角槭,三角槭,Matched
Acer caesium,深灰槭,深灰槭,Matched
Acer caudatifolium,尖尾槭,尖尾槭,Matched
Acer caudatum,长尾槭,长尾槭,Matched
Acer cordatum,紫果槭,紫果槭,Matched
Acer coriaceifolium,樟叶槭,樟叶槭,Matched
Acer davidii,青榨槭(蛇皮枫),青榨槭,Inconsistent common name
Acer davidii grosseri,葛萝槭,,Species not included in reference
Acer duplicatoserratum,,重齿槭,Missed common name on iNat
Acer elegantulum,秀丽槭,秀丽槭,Matched
Acer fabri,罗浮槭,罗浮槭,Matched
Acer flabellatum,扇叶槭,扇叶槭,Matched
Acer ginnala,茶条枫,,Species not included in reference
Acer griseum,血皮枫(血皮槭),血皮槭,Inconsistent common name
Acer henryi,建始槭,建始槭,Matched
Acer japonicum,羽扇槭,羽扇槭,Matched
Acer linganense,,临安槭,Missed common name on iNat
Acer lucidum,亮叶槭,亮叶槭,Matched
Acer mandshuricum,东北槭,东北槭,Matched
Acer maximowiczii,五尖槭,五尖槭,Matched
Acer negundo,梣叶槭,梣叶槭,Matched
Acer oblongum,飞蛾槭,飞蛾槭,Matched
Acer oliverianum,五裂槭,五裂槭,Matched
Acer palmatum,鸡爪槭,鸡爪槭,Matched
Acer palmatum dissectum,,,Missed common name on iNat
Acer pauciflorum,,稀花槭,Missed common name on iNat
Acer pentaphyllum,五小叶槭,五小叶槭,Matched
Acer pictum,色木槭,色木槭,Matched
Acer pictum mono,五角枫,,Species not included in reference
Acer pilosum,疏毛槭,疏毛槭,Matched
Acer platanoides,挪威槭,,Species not included in reference
Acer pubinerve,毛脉槭,毛脉槭,Matched
Acer rubrum,红枫,,Species not included in reference
Acer saccharinum,银白槭,糖槭,Inconsistent common name
Acer saccharum,糖枫,,Species not included in reference
Acer serrulatum,台湾五裂枫,台湾五裂槭,Inconsistent common name
Acer sino-oblongum,,滨海槭,Missed common name on iNat
Acer tataricum,苦条枫,鞑靼槭,Inconsistent common name
Acer tegmentosum,青楷槭,青楷槭,Matched
Acer triflorum,三花槭,三花槭,Matched
Acer truncatum,元宝槭,元宝槭,Matched
Acer tutcheri,岭南槭,岭南槭,Matched
Acer ukurunduense,花楷枫,花楷槭,Inconsistent common name
Acer wilsonii,,三峡槭,Missed common name on iNat
Achetaria,蓝金花属,,Species not included in reference
Achetaria azurea,蓝金花,,Species not included in reference
Achillea,蓍属,蓍属,Matched
Achillea ageratum,,,Missed common name on iNat
Achillea alpina,高山蓍,高山蓍,Matched
Achillea millefolium,欧蓍,蓍,Inconsistent common name
Achillea ptarmica,珠蓍,,Species not included in reference
Achillea ptarmicoides,短瓣蓍,短瓣蓍,Matched
Achnatherum,芨芨草属,羽茅属,Inconsistent common name
Achnatherum pekinense,北京芨芨草,京芒草,Inconsistent common name
Achyranthes,牛膝属,牛膝属,Matched
Achyranthes aspera,土牛膝,土牛膝,Matched
Achyranthes aspera aspera,钝叶土牛膝,,Species not included in reference
Achyranthes bidentata,怀牛膝,牛膝,Inconsistent common name
Achyranthes indica,,,Missed common name on iNat
Achyranthes japonica,少毛牛膝,,Species not included in reference
Achyranthes longifolia,柳叶牛膝,柳叶牛膝,Matched
Acidosasa venusta,黎竹,黎竹,Matched
Ackama,,,Missed common name on iNat
Acmella,金扭扣属,金纽扣属,Inconsistent common name
Acmella brachyglossa,短舌花金钮扣,短舌花金纽扣,Inconsistent common name
Acmella calva,美形金钮扣,美形金纽扣,Inconsistent common name
Acmella ciliata,天文草,天文草,Matched
Acmella oleracea,桂圆菊,桂圆菊,Matched
Acmella paniculata,金钮扣,金纽扣,Inconsistent common name
Acmella radicans,白花金钮扣,,Species not included in reference
Acmella repens,沼菊草,,Species not included in reference
Acmella uliginosa,沼生金纽扣,沼生金纽扣,Matched
Acoelorraphe wrightii,沼地棕,,Species not included in reference
Aconitum,乌头属,乌头属,Matched
Aconitum alboviolaceum,两色乌头,两色乌头,Matched
Aconitum barbatum,细叶黄乌头,细叶黄乌头,Matched
Aconitum barbatum puberulum,牛扁,,Species not included in reference
Aconitum carmichaeli,乌头,,Species not included in reference
Aconitum carmichaelii,展毛乌头,乌头,Inconsistent common name
Aconitum coreanum,黄花乌头,黄花乌头,Matched
Aconitum flavum,,伏毛铁棒锤,Missed common name on iNat
Aconitum geniculatum,,膝瓣乌头,Missed common name on iNat
Aconitum hemsleyanum,瓜叶乌头,瓜叶乌头,Matched
Aconitum kusnezoffii,北乌头,北乌头,Matched
Aconitum leucostomum hopeiense,河北白喉乌头,,Species not included in reference
Aconitum longecassidatum,高帽乌头,高帽乌头,Matched
Aconitum lycoctonum,狼毒乌头,,Species not included in reference
Aconitum pendulum,铁棒槌,铁棒锤,Inconsistent common name
Aconitum racemulosum,岩乌头,岩乌头,Matched
Aconitum septentrionale,紫花高乌头,紫花高乌头,Matched
Aconitum sinomontanum,麻布七,高乌头,Inconsistent common name
Aconitum soongaricum,华北乌头,准噶尔乌头,Inconsistent common name
Aconitum stapfianum,玉龙乌头,玉龙乌头,Matched
Aconitum tanguticum,甘青乌头,甘青乌头,Matched
Aconitum tatsienense,,康定乌头,Missed common name on iNat
Acorus,菖蒲属,菖蒲属,Matched
Acorus calamus,菖蒲,菖蒲,Matched
Acorus gramineus,金钱蒲,金钱蒲,Matched
Acroglochin persicarioides,,千针苋,Missed common name on iNat
Acronema xizangense,,西藏丝瓣芹,Missed common name on iNat
Acronychia,山油柑属,山油柑属,Matched
Acronychia pedunculata,山油柑,山油柑,Matched
Acrosiphonia coalita,绿绳,,Species not included in reference
Acrostichum,卤蕨属,卤蕨属,Matched
Acrostichum aureum,卤蕨,卤蕨,Matched
Acrostichum speciosum,尖叶卤蕨,尖叶卤蕨,Matched
Actaea,类叶升麻属,类叶升麻属,Matched
Actaea asiatica,类叶升麻,类叶升麻,Matched
Actaea dahurica,兴安升麻,兴安升麻,Matched
Actaea racemosa,总花黑升麻,,Species not included in reference
Actaea vaginata,黄三七,黄三七,Matched
Actephila collinsiae,大萼喜光花,,Species not included in reference
Actephila merrilliana,喜光花,喜光花,Matched
Actinastrum,集星藻属,,Species not included in reference
Actinastrum hantzschii,汉斯集星藻,,Species not included in reference
Actinidia,猕猴桃属,猕猴桃属,Matched
Actinidia arguta,软枣猕猴桃,软枣猕猴桃,Matched
Actinidia callosa,硬齿猕猴桃,硬齿猕猴桃,Matched
Actinidia callosa henryi,京梨猕猴桃,,Species not included in reference
Actinidia chinensis,中华猕猴桃,中华猕猴桃,Matched
Actinidia chinensis deliciosa,,,Missed common name on iNat
Actinidia chrysantha,金花猕猴桃,金花猕猴桃,Matched
Actinidia eriantha,毛花猕猴桃,毛花猕猴桃,Matched
Actinidia fortunatii,条叶猕猴桃,条叶猕猴桃,Matched
Actinidia fulvicoma,黄毛猕猴桃,黄毛猕猴桃,Matched
Actinidia hubeiensis,湖北猕猴桃,湖北猕猴桃,Matched
Actinidia kolomikta,狗枣猕猴桃,狗枣猕猴桃,Matched
Actinidia lanceolata,小叶猕猴桃,小叶猕猴桃,Matched
Actinidia latifolia,阔叶猕猴桃,阔叶猕猴桃,Matched
Actinidia macrosperma,大籽猕猴桃,大籽猕猴桃,Matched
Actinidia rubricaulis,红茎猕猴桃,红茎猕猴桃,Matched
Actinidia rubricaulis coriacea,革叶猕猴桃,,Species not included in reference
Actinidia setosa,刺毛猕猴桃,,Species not included in reference
Actinodaphne,黄肉楠属,黄肉楠属,Matched
Actinodaphne pilosa,毛黄肉楠,毛黄肉楠,Matched
Actinoschoenus aphyllus,星穗莎,,Species not included in reference
Actinoscirpus grossus,,大藨草,Missed common name on iNat
Actinostemma tenerum,盒子草,盒子草,Matched
Adansonia digitata,猴面包树,猴面包树,Matched
Adenanthera,海红豆属,海红豆属,Matched
Adenanthera microsperma,海红豆,海红豆,Matched
Adenanthera pavonina,海红豆,光海红豆,Inconsistent common name
Adenia cardiophylla,三开瓢,三开瓢,Matched
Adenia spinosa,,,Missed common name on iNat
Adenium,沙漠玫瑰属,,Species not included in reference
Adenium obesum,,,Missed common name on iNat
Adenocaulon,和尚菜属,和尚菜属,Matched
Adenocaulon himalaicum,和尚菜,和尚菜,Matched
Adenonema cherleriae,兴安繁缕,,Species not included in reference
Adenophora,沙参属,沙参属,Matched
Adenophora capillaris,丝裂沙参,丝裂沙参,Matched
Adenophora capillaris paniculata,紫沙参,,Species not included in reference
Adenophora coelestis,天蓝沙参,天蓝沙参,Matched
Adenophora divaricata,展枝沙参,展枝沙参,Matched
Adenophora elata,狭长花沙参,狭长花沙参,Matched
Adenophora himalayana,喜马拉雅沙参,喜马拉雅沙参,Matched
Adenophora jasionifolia,甘孜沙参,甘孜沙参,Matched
Adenophora khasiana,云南沙参,云南沙参,Matched
Adenophora liliifolioides,川藏沙参,川藏沙参,Matched
Adenophora ningxianica,宁夏沙参,宁夏沙参,Matched
Adenophora petiolata huadungensis,华东杏叶沙参,,Species not included in reference
Adenophora petiolata hunanensis,杏叶沙参,,Species not included in reference
Adenophora polyantha,石沙参,石沙参,Matched
Adenophora polyantha scabricalyx,毛萼石沙参,,Species not included in reference
Adenophora potaninii,泡沙参,泡沙参,Matched
Adenophora potaninii wawreana,多歧沙参,,Species not included in reference
Adenophora stenanthina,长柱沙参,长柱沙参,Matched
Adenophora stricta,沙参,沙参,Matched
Adenophora trachelioides,荠苨,荠苨,Matched
Adenophora trachelioides giangsuensis,苏南荠苨,,Species not included in reference
Adenophora trachelioides trachelioides,荠苨,,Species not included in reference
Adenophora triphylla,轮叶沙参,,Species not included in reference
Adenosma glutinosum,毛麝香,,Species not included in reference
Adenosma indiana,球花毛麝香,球花毛麝香,Matched
Adenostemma,下田菊属,下田菊属,Matched
Adenostemma lavenia,下田菊,下田菊,Matched
Adenostemma lavenia lavenia,,,Missed common name on iNat
Adiantum,铁线蕨属,铁线蕨属,Matched
Adiantum capillus-junonis,团羽铁线蕨,团羽铁线蕨,Matched
Adiantum capillus-veneris,铁线蕨,铁线蕨,Matched
Adiantum caudatum,鞭叶铁线蕨,鞭叶铁线蕨,Matched
Adiantum chienii,北江铁线蕨,北江铁线蕨,Matched
Adiantum cunninghamii,,,Missed common name on iNat
Adiantum diaphanum,长尾铁线蕨,长尾铁线蕨,Matched
Adiantum erythrochlamys,肾盖铁线蕨,肾盖铁线蕨,Matched
Adiantum flabellulatum,扇叶铁线蕨,扇叶铁线蕨,Matched
Adiantum gravesii,白垩铁线蕨,白垩铁线蕨,Matched
Adiantum hispidulum,毛叶铁线蕨,毛叶铁线蕨,Matched
Adiantum malesianum,假鞭叶铁线蕨,假鞭叶铁线蕨,Matched
Adiantum mariesii,小铁线蕨,小铁线蕨,Matched
Adiantum nelumboides,荷叶铁线蕨,荷叶铁线蕨,Matched
Adiantum pedatum,掌叶铁线蕨,掌叶铁线蕨,Matched
Adiantum philippense,半月形铁线蕨,半月形铁线蕨,Matched
Adiantum roborowskii,陇南铁线蕨,陇南铁线蕨,Matched
Adiantum trapeziforme,梯叶铁线蕨,,Species not included in reference
Adiantum wattii,,,Missed common name on iNat
Adina,水团花属,水团花属,Matched
Adina pilulifera,水团花,水团花,Matched
Adina rubella,细叶水团花,细叶水团花,Matched
Adinandra,杨桐属,杨桐属,Matched
Adinandra glischroloma,两广杨桐,两广杨桐,Matched
Adinandra millettii,杨桐,杨桐,Matched
Adonidia merrillii,圣诞椰子,,Species not included in reference
Adonis,侧金盏花属,侧金盏花属,Matched
Adonis amurensis,侧金盏花,侧金盏花,Matched
Adonis davidii,宝兴侧金盏花,短柱侧金盏花,Inconsistent common name
Adonis ramosa,辽吉侧金盏花,辽吉侧金盏花,Matched
Adonis sutchuenensis,蜀侧金盏花,蜀侧金盏花,Matched
Adoxa moschatellina,五福花,五福花,Matched
Adromischus,天锦章属,,Species not included in reference
Adromischus cooperi,,,Missed common name on iNat
Aechmea,附生凤梨属,,Species not included in reference
Aechmea bracteata,,,Missed common name on iNat
Aechmea fasciata,美叶光萼荷,,Species not included in reference
Aechmea fulgens,珊瑚凤梨,,Species not included in reference
Aechmea gamosepala,積水凤梨,,Species not included in reference
Aegiceras,蜡烛果属,蜡烛果属,Matched
Aegiceras corniculatum,蜡烛果,蜡烛果,Matched
Aegilops,山羊草属,山羊草属,Matched
Aegilops tauschii,節節麥,节节麦,Inconsistent common name
Aeginetia,野菰属,野菰属,Matched
Aeginetia indica,野菰,野菰,Matched
Aegle marmelos,木橘,木橘,Matched
Aegonychon zollingeri,梓木草,,Species not included in reference
Aegopodium podagraria,羊角芹,,Species not included in reference
Aeonium,莲花掌属,,Species not included in reference
Aeonium arboreum,大座莲,,Species not included in reference
Aeonium decorum,清盛,,Species not included in reference
Aeonium haworthii,,,Missed common name on iNat
Aerides,指甲兰属,指甲兰属,Matched
Aerides falcata,指甲兰,指甲兰,Matched
Aerides houlletiana,黄玫瑰指甲兰,,Species not included in reference
Aerides odorata,香花指甲兰,香花指甲兰,Matched
Aerides rosea,多花指甲兰,多花指甲兰,Matched
Aeschynanthus,芒毛苣苔属,芒毛苣苔属,Matched
Aeschynanthus acuminatus,芒毛苣苔,芒毛苣苔,Matched
Aeschynanthus andersonii,轮叶芒毛苣苔,轮叶芒毛苣苔,Matched
Aeschynanthus bracteatus,显苞芒毛苣苔,显苞芒毛苣苔,Matched
Aeschynanthus buxifolius,黄杨叶芒毛苣苔,黄杨叶芒毛苣苔,Matched
Aeschynanthus hookeri,束花芒毛苣苔,束花芒毛苣苔,Matched
Aeschynanthus humilis,矮芒毛苣苔,矮芒毛苣苔,Matched
Aeschynanthus lancilimbus,披针芒毛苣苔,披针芒毛苣苔,Matched
Aeschynanthus lasianthus,毛花芒毛苣苔,毛花芒毛苣苔,Matched
Aeschynanthus lineatus,线条芒毛苣苔,线条芒毛苣苔,Matched
Aeschynanthus longicaulis,长茎芒毛苣苔,长茎芒毛苣苔,Matched
Aeschynanthus moningerae,红花芒毛苣苔,,Species not included in reference
Aeschynanthus parasiticus,大花芒毛苣苔,,Species not included in reference
Aeschynanthus pulcher,口红花,,Species not included in reference
Aeschynanthus radicans,毛萼口红花,,Species not included in reference
Aeschynanthus sinolongicalyx,长萼芒毛苣苔,长萼芒毛苣苔,Matched
Aeschynanthus stenosepalus,尾叶芒毛苣苔,尾叶芒毛苣苔,Matched
Aeschynanthus superbus,华丽芒毛苣苔,华丽芒毛苣苔,Matched
Aeschynanthus wardii,狭花芒毛苣苔,狭花芒毛苣苔,Matched
Aeschynomene,合萌属,合萌属,Matched
Aeschynomene americana,,敏感合萌,Missed common name on iNat
Aeschynomene indica,合萌,合萌,Matched
Aesculus,七叶树属,七叶树属,Matched
Aesculus assamica,长柄七叶树,,Species not included in reference
Aesculus chinensis,七叶树,七叶树,Matched
Aesculus chinensis wilsonii,,,Missed common name on iNat
Aesculus hippocastanum,欧洲七叶树,欧洲七叶树,Matched
Aesculus pavia,红花七叶树,,Species not included in reference
Aesculus wangii,云南七叶树,云南七叶树,Matched
Aethusa,毒欧芹属,,Species not included in reference
Aethusa cynapium,毒欧芹,,Species not included in reference
Afgekia filipes,猪腰豆,,Species not included in reference
Afrocarpus falcatus,非洲杉,,Species not included in reference
Agapanthus,百子莲属,,Species not included in reference
Agapanthus africanus,百子莲,,Species not included in reference
Agapanthus campanulatus,,,Missed common name on iNat
Agapanthus praecox,早花百子莲,,Species not included in reference
Agapetes,树萝卜属,树萝卜属,Matched
Agapetes ciliata,纤毛树萝卜,纤毛叶树萝卜,Inconsistent common name
Agapetes forrestii,伞花树萝卜,伞花树萝卜,Matched
Agapetes griffithii,尾叶树萝卜,尾叶树萝卜,Matched
Agapetes interdicta,,中型树萝卜,Missed common name on iNat
Agapetes lacei,灯笼花,灯笼花,Matched
Agapetes lobbii,深裂树萝卜,深裂树萝卜,Matched
Agapetes marginata,边脉树萝卜,边脉树萝卜,Matched
Agapetes megacarpa,缅甸树萝卜,大果树萝卜,Inconsistent common name
Agapetes neriifolia,夹竹桃叶树萝卜,夹竹桃叶树萝卜,Matched
Agapetes praeclara,,藏布江树萝卜,Missed common name on iNat
Agapetes subsessilifolia,,近无柄树萝卜,Missed common name on iNat
Agastache,藿香属,藿香属,Matched
Agastache foeniculum,,,Missed common name on iNat
Agastache rugosa,藿香,藿香,Matched
Agastache scrophulariifolia,,,Missed common name on iNat
Agathis dammara,贝壳杉,贝壳杉,Matched
Agave,龙舌兰属,龙舌兰属,Matched
Agave americana,龙舌兰,龙舌兰,Matched
Agave americana americana,,,Missed common name on iNat
Agave americana expansa,,,Missed common name on iNat
Agave angustifolia,狭叶龙舌兰,狭叶龙舌兰,Matched
Agave angustifolia marginata,白缘龙舌兰,,Species not included in reference
Agave attenuata,翡翠盘,,Species not included in reference
Agave bracteosa,,,Missed common name on iNat
Agave desmettiana,礼美龙舌兰,,Species not included in reference
Agave filifera,丝叶龙舌兰,,Species not included in reference
Agave isthmensis,甲蟹龙舌兰,,Species not included in reference
Agave kerchovei,五色万代,,Species not included in reference
Agave lechuguilla,,,Missed common name on iNat
Agave potatorum,棱叶龙舌兰,,Species not included in reference
Agave schidigera,泷之白丝,,Species not included in reference
Agave shawii,,,Missed common name on iNat
Agave sisalana,剑麻,剑麻,Matched
Agave striata,吹上,,Species not included in reference
Agave stricta,,,Missed common name on iNat
Agave tequilana,太匮龙舌兰,,Species not included in reference
Agave victoriae-reginae,,,Missed common name on iNat
Agave vivipara,狭叶龙舌兰,,Species not included in reference
Ageratina,假藿香蓟属,紫茎泽兰属,Inconsistent common name
Ageratina adenophora,紫茎泽兰,紫茎泽兰,Matched
Ageratina altissima,蛇根泽兰,,Species not included in reference
Ageratum,藿香蓟属,藿香蓟属,Matched
Ageratum conyzoides,藿香蓟,藿香蓟,Matched
Ageratum houstonianum,熊耳草,熊耳草,Matched
Aglaia,树兰属,米仔兰属,Inconsistent common name
Aglaia lawii,望谟崖摩,望谟崖摩,Matched
Aglaia odorata,米仔兰,米仔兰,Matched
Aglaia odorata microphyllina,小叶米兰,,Species not included in reference
Aglaonema,粗肋草属,广东万年青属,Inconsistent common name
Aglaonema commutatum,银后万年青,,Species not included in reference
Aglaonema modestum,广东万年青,广东万年青,Matched
Aglaonema simplex,越南万年青,越南万年青,Matched
Agrestes,,,Missed common name on iNat
Agrimonia,龙芽草属,龙牙草属,Inconsistent common name
Agrimonia eupatoria,欧洲龙牙草,欧洲龙牙草,Matched
Agrimonia pilosa,龙牙草,龙牙草,Matched
Agropyron cristatum,冰草,冰草,Matched
Agrostemma githago,麦仙翁,麦仙翁,Matched
Agrostis,剪股颖属,剪股颖属,Matched
Agrostis infirma,台湾剪股颖,玉山剪股颖,Inconsistent common name
Agrostis stolonifera,匍匐翦股颖,西伯利亚剪股颖,Inconsistent common name
Aidia,茜树属,茜树属,Matched
Aidia canthioides,香楠,香楠,Matched
Aidia cochinchinensis,茜树,茜树,Matched
Aidia pycnantha,多毛茜草树,多毛茜草树,Matched
Aigeiros,,,Missed common name on iNat
Ailanthus,臭椿属,臭椿属,Matched
Ailanthus altissima,臭椿,臭椿,Matched
Ailanthus fordii,常绿臭椿,常绿臭椿,Matched
Ainsliaea,兔儿风属,兔儿风属,Matched
Ainsliaea aptera,无翅兔儿风,无翅兔儿风,Matched
Ainsliaea fragrans,杏香兔儿风,杏香兔儿风,Matched
Ainsliaea fulvipes,黄毛兔儿风,黄毛兔儿风,Matched
Ainsliaea henryi,长穗兔儿风,长穗兔儿风,Matched
Ainsliaea kawakamii,灯台兔儿风,灯台兔儿风,Matched
Ainsliaea latifolia,宽叶兔儿风,宽叶兔儿风,Matched
Ainsliaea macrocephala,大头兔儿风,大头兔儿风,Matched
Ainsliaea macroclinidioides,阿里山兔儿风,阿里山兔儿风,Matched
Ainsliaea parvifolia,小叶兔儿风,小叶兔儿风,Matched
Ainsliaea ramosa,莲沱兔儿风,莲沱兔儿风,Matched
Ainsliaea spicata,,细穗兔儿风,Missed common name on iNat
Ainsliaea trinervis,三脉兔儿风,三脉兔儿风,Matched
Ainsliaea walkeri,华南兔儿风,华南兔儿风,Matched
Ainsliaea yunnanensis,云南兔儿风,云南兔儿风,Matched
Aizoon,,,Missed common name on iNat
Ajania,亚菊属,亚菊属,Matched
Ajania breviloba,短裂亚菊,短裂亚菊,Matched
Ajania khartensis,铺散亚菊,铺散亚菊,Matched
Ajania nubigena,,黄花亚菊,Missed common name on iNat
Ajania pacifica,金球菊,,Species not included in reference
Ajania tenuifolia,,细叶亚菊,Missed common name on iNat
Ajuga,筋骨草属,筋骨草属,Matched
Ajuga ciliata,筋骨草,筋骨草,Matched
Ajuga decumbens,金疮小草,金疮小草,Matched
Ajuga forrestii,痢止蒿,痢止蒿,Matched
Ajuga lupulina,白苞筋骨草,白苞筋骨草,Matched
Ajuga macrosperma,大籽筋骨草,大籽筋骨草,Matched
Ajuga multiflora,多花筋骨草,多花筋骨草,Matched
Ajuga nipponensis,紫背金盘,紫背金盘,Matched
Ajuga ovalifolia,圆叶筋骨草,圆叶筋骨草,Matched
Ajuga pantantha,,散淤草,Missed common name on iNat
Ajuga reptans,匍匐筋骨草,,Species not included in reference
Ajuga taiwanensis,台湾筋骨草,台湾筋骨草,Matched
Akebia,木通属,木通属,Matched
Akebia quinata,木通,木通,Matched
Akebia trifoliata,三叶木通,三叶木通,Matched
Akebia trifoliata australis,,,Missed common name on iNat
Alangium,八角枫属,八角枫属,Matched
Alangium barbatum,髯毛八角枫,髯毛八角枫,Matched
Alangium chinense,八角枫,八角枫,Matched
Alangium faberi,小花八角枫,小花八角枫,Matched
Alangium kurzii,毛八角枫,毛八角枫,Matched
Alangium platanifolium,瓜木,瓜木,Matched
Alangium salviifolium,土坛树,土坛树,Matched
Albizia,合欢属,合欢属,Matched
Albizia chinensis,楹树,楹树,Matched
Albizia corniculata,天香藤,天香藤,Matched
Albizia julibrissin,合欢,合欢,Matched
Albizia julibrissin mollis,,,Missed common name on iNat
Albizia kalkora,山合欢,山槐,Inconsistent common name
Albizia lebbeck,阔荚合欢,阔荚合欢,Matched
Albizia lucidior,光叶合欢,光叶合欢,Matched
Albizia procera,黄豆树,黄豆树,Matched
Albuca,,,Missed common name on iNat
Albuca bracteata,虎眼万年青,,Species not included in reference
Albuca humilis,,,Missed common name on iNat
Albuca namaquensis,,,Missed common name on iNat
Alcea,蜀葵属,蜀葵属,Matched
Alcea rosea,蜀葵,蜀葵,Matched
Alchemilla mollis,柔毛羽衣草,,Species not included in reference
Alchornea,山麻杆属,山麻秆属,Inconsistent common name
Alchornea davidii,山麻杆,山麻秆,Inconsistent common name
Alchornea hunanensis,湖南山麻杆,湖南山麻秆,Inconsistent common name
Alchornea rugosa,羽脉山麻杆,羽脉山麻秆,Inconsistent common name
Alchornea trewioides,红背山麻杆,红背山麻秆,Inconsistent common name
Aldrovanda vesiculosa,貉藻,貉藻,Matched
Alectra sessiliflora,,,Missed common name on iNat
Aletris,肺筋草属,肺筋草属,Matched
Aletris capitata,头花粉条儿菜,头花肺筋草,Inconsistent common name
Aletris glandulifera,腺毛粉条儿菜,腺毛肺筋草,Inconsistent common name
Aletris pauciflora,少花粉条儿菜,少花肺筋草,Inconsistent common name
Aletris scopulorum,短柄粉条儿菜,短柄肺筋草,Inconsistent common name
Aletris spicata,粉条儿菜,肺筋草,Inconsistent common name
Aleurites,石栗属,石栗属,Matched
Aleurites moluccanus,石栗,石栗,Matched
Aleuritia,粉报春亚属,,Species not included in reference
Aleuritopteris,粉背蕨属,粉背蕨属,Matched
Aleuritopteris anceps,多鳞粉背蕨,粉背蕨,Inconsistent common name
Aleuritopteris argentea,银粉背蕨,银粉背蕨,Matched
Aleuritopteris argentea obscura,陕西粉背蕨,,Species not included in reference
Aleuritopteris shensiensis,陕西粉背蕨,,Species not included in reference
Aleuritopteris subvillosa tibetica,,,Missed common name on iNat
Alhagi sparsifolia,骆驼刺,,Species not included in reference
Alisma,泽泻属,泽泻属,Matched
Alisma canaliculatum,,窄叶泽泻,Missed common name on iNat
Alisma plantago-aquatica,泽泻,泽泻,Matched
